Date,PortfolioReturn
2015-08-27,0.02275343000436269
2015-08-28,0.00944650779923514
2015-08-31,0.004059442726781503
2015-09-01,-0.02886504759777353
2015-09-02,0.013656626773145707
2015-09-03,0.003624614085090421
2015-09-04,-0.009842199276988045
2015-09-08,0.01874861599822687
2015-09-09,-0.010852547319848534
2015-09-10,8.991020478738907e-4
2015-09-11,0.0012029345393578463
2015-09-14,-0.004019291296825827
2015-09-15,0.012473728426841553
2015-09-16,0.010664007138916378
2015-09-17,2.1588633349148634e-4
2015-09-18,-0.017454541018344708
2015-09-21,0.0033811059673700054
2015-09-22,-0.015284215618394752
2015-09-23,-0.00463686708841262
2015-09-24,9.047360483615004e-4
2015-09-25,-0.0044725991736975605
2015-09-28,-0.024638282427398378
2015-09-29,-0.004097174722186691
2015-09-30,0.011908538828640063
