Date;monthly.returns;;;(Intercept);`Mkt-RF`;SMB;HML
31.12.1935;3.78671360650822;;;-0,012136365;0,786891515;0,58002265;0,439738158
31.01.1936;6.55249511872145;;;-0,944081524;1,195964972;0,743781218;0,320542095
29.02.1936;2.02655453074261;;;0,319360947;1,00914908;0,885574357;0,64627091
31.03.1936;2.19177867440581;;;0,031175783;0,9599102;0,649749801;0,543552324
30.04.1936;-7.70777220274604;;;0,071034768;0,868417622;0,712652238;-0,042394036
31.05.1936;4.57515715194767;;;0,326485256;0,794879845;0,42056032;0,267939169
30.06.1936;3.05555934523369;;;0,362597901;0,778102852;0,583599349;-0,005823382
31.07.1936;6.80593139148793;;;0,141908423;1,084904959;0,890772708;0,521494135
31.08.1936;0.88327688504104;;;0,214548463;0,7625459;0,695923646;0,448194356
30.09.1936;0.125081038461294;;;-0,199322895;0,974526775;1,17074662;0,258959672
31.10.1936;7.62023295386112;;;0,377569809;0,632841639;0,587522105;0,291885552
30.11.1936;0.290198176074297;;;0,153554654;0,749060416;0,544246994;0,151777683
31.12.1936;-0.578705888287434;;;-1,16634921;0,58383561;0,698456123;-0,028698491
31.01.1937;3.43422667117266;;;0,474056438;0,755780464;0,714780922;0,525749105
28.02.1937;1.63195836076646;;;0,624772123;0,804856276;0,880295995;0,379623411
31.03.1937;-0.775190441796236;;;-0,668543173;0,998139652;0,570602555;0,670277239
30.04.1937;-8.314730830215;;;0,140197214;0,925189378;0,636742884;0,200789422
31.05.1937;-1.03469308056185;;;0,566294943;0,730872372;0,548923787;0,405992981
30.06.1937;-5.28905656977782;;;-0,087801815;0,951258529;0,897745639;0,483493534
31.07.1937;8.89610956603482;;;0,766143455;0,929365363;0,592092787;0,106837439
31.08.1937;-4.35300848127511;;;-0,077484061;1,00003772;0,595051598;0,341254257
30.09.1937;-14.2144673099013;;;0,292993642;0,846340415;0,922879484;0,535249741
31.10.1937;-10.2470917438836;;;0,006396156;0,924775289;0,618017526;0,138561325
30.11.1937;-10.0404913885915;;;0,575750372;0,77026088;0,220594635;0,249483633
31.12.1937;-5.040499399168;;;0,176432519;1,131379507;0,343152415;0,503745083
31.01.1938;1.32700840869544;;;0,431538524;0,734016894;0,431221935;0,290272696
28.02.1938;6.08045460915989;;;0,030646959;1,037660508;0,783386464;0,517659363
31.03.1938;-25.0440927193442;;;0,140134439;1,343573316;0,697829767;0,125531998
30.04.1938;15.0588203878964;;;0,103038897;1,086538052;0,790489325;0,445389772
31.05.1938;-5.21471665779464;;;-0,506381962;1,174020747;0,683276585;0,004099129
30.06.1938;24.7033424894293;;;0,155697272;0,791666217;0,352500409;-0,064906951
31.07.1938;6.66089512231078;;;0,382842637;0,900355437;0,524870046;0,404420869
31.08.1938;-2.18977701346328;;;-0,127416676;0,903221081;0,715579026;0,277011898
30.09.1938;1.49253188423344;;;0,045793313;1,278607552;0,854586916;0,039268959
31.10.1938;7.59804185103201;;;0,239380611;1,258641047;0,432492973;0,383266309
30.11.1938;-3.34093038351321;;;0,333039362;0,976272383;0,533921368;0,32677042
31.12.1938;3.22074482191537;;;0,075003247;0,903822678;0,425249336;0,51751064
31.01.1939;-6.39269505814546;;;-0,089042299;0,884690468;0,79073935;0,111841902
28.02.1939;3.25202936851643;;;0,286709625;1,019514221;1,016910188;0,146032542
31.03.1939;-13.5433093926033;;;0,027533237;0,857425899;0,478789704;0,472590594
30.04.1939;-0.455366476730867;;;-0,599459838;0,89770772;0,799277765;0,654997003
31.05.1939;6.12991818469277;;;-0,507005331;1,28548781;0,775393214;0,544523304
30.06.1939;-6.37931638325275;;;-0,014957276;0,900211388;0,6527674;0,170458455
31.07.1939;10.8655648478797;;;0,230558759;0,995430742;0,530854339;0,285814024
31.08.1939;-7.14285431397034;;;0,404563092;0,717476174;0,463111986;0,37210564
30.09.1939;14.4007120995506;;;0,33434795;0,702672911;0,314727049;0,2799797
31.10.1939;0.31274403418553;;;0,218058745;1,259715281;1,244093237;0,601754443
30.11.1939;-4.91036725009533;;;0,209506975;0,982557594;0,527386614;0,018742019
31.12.1939;2.13114945038264;;;-0,370072753;1,010749255;0,445496624;0,457236809
31.01.1940;-3.29052846032802;;;0,742929695;1,072650746;0,449168881;0,465294643
29.02.1940;0.66389977128436;;;0,195238152;0,772072367;0,527246506;0,261253263
31.03.1940;0.412202722696908;;;-0,501152167;1,15113883;0,879917018;0,671440342
30.04.1940;0.0820958535056038;;;0,177846491;0,916167444;1,113197222;0,199944157
31.05.1940;-23.9540543325254;;;0,476792396;1,347217599;0,759531691;0,57296628
30.06.1940;7.65910517165107;;;0,057051904;0,621152737;0,336038058;0,188009726
31.07.1940;3.10621677190213;;;0,304194203;1,115204961;0,76605521;0,126250487
